R_HMR_6780	v2800	2.6.1.1
R_HMR_3807	v1750	2.6.1.13
R_HMR_3835	v1764	1.5.1.2
R_HMR_3956	v1808	4.2.1.1
R_HMR_4191	v1932	4.1.1.19
R_HMR_4212	v1947	4.1.1.17
R_HMR_4423	v2047	1.4.3.10
R_HMR_4423	v2047	1.4.3.6
R_HMR_4776	v2236	1.14.11.2
R_HMR_4779	v2238	1.5.1.2
R_HMR_6930	v2834	2.3.1.57
R_HMR_6936	v2840	1.4.3.6
R_HMR_6936	v2840	1.4.3.21
R_HMR_6936	v2840	1.4.3.22
R_HMR_6958	v2857	1.5.3.11
R_HMR_4285	v1977	1.2.1.24
R_HMR_4285	v1977	1.2.1.16
R_HMR_3845	v1769	2.1.2.1
R_HMR_3849	v1771	1.5.3.1
R_HMR_3849	v1771	1.5.99.1
R_HMR_3883	v1787	4.3.1.17
R_HMR_3883	v1787	4.3.1.19
R_HMR_3901	v1790	2.1.1.20
R_HMR_4582	v2120	2.1.4.1
R_HMR_4697	v2192	1.2.1.8
R_HMR_4792	v2242	2.1.2.1
R_HMR_6409	v2616	1.8.1.4
R_HMR_6409	v2616	2.1.2.10
R_HMR_4429	v2050	2.1.1.8
R_HMR_5336	v2444	3.5.1.-
R_HMR_4239	v1955	1.2.4.2
R_HMR_4737	v2215	1.2.1.31
R_HMR_6984	v2872	2.4.1.50
R_HMR_4224	v1952	3.7.1.3
R_HMR_6715	v2763	2.1.1.6
R_HMR_6718	v2766	4.1.1.28
R_HMR_6730	v2768	2.1.1.6
R_HMR_6743	v2774	2.1.1.28
R_HMR_6746	v2776	2.1.1.6
R_HMR_6749	v2779	1.2.1.5
R_HMR_6750	v2780	2.1.1.6
R_HMR_6753	v2783	1.2.1.5
R_HMR_6756	v2786	1.1.1.1
R_HMR_6761	v2789	1.2.1.5
R_HMR_6766	v2793	1.2.1.5
R_HMR_6788	v2802	2.1.1.49
R_HMR_6788	v2802	2.1.1.6
R_HMR_6800	v2807	2.4.1.17
R_HMR_6815	v2811	2.5.1.18
R_HMR_6855	v2823	1.97.1.10
R_HMR_3875	v1785	2.5.1.6
R_HMR_3928	v1799	2.8.1.2
R_HMR_5388	v2461	1.13.11.53
R_HMR_6519	v2682	1.1.1.27
R_HMR_3868	v1782	1.8.1.7
R_HMR_3869	v1783	1.8.1.7
R_HMR_4116	v1886	1.11.1.9
R_HMR_4120	v1888	1.11.1.9
R_HMR_4121	v1889	1.11.1.9
R_HMR_4175	v1921	2.3.2.2
R_HMR_4175	v1921	3.4.11.4
R_HMR_4176	v1922	2.3.2.2
R_HMR_4176	v1922	3.4.11.4
R_HMR_4324	v1991	6.3.2.2
R_HMR_4329	v1994	3.4.11.1
R_HMR_4329	v1994	3.4.11.2
R_HMR_4330	v1995	2.6.1.55
R_HMR_4330	v1995	2.6.1.19
R_HMR_4347	v2006	3.5.1.6
R_HMR_3748	v1725	1.2.1.25
R_HMR_3767	v1734	1.2.1.25
R_HMR_3780	v1739	1.2.1.25
R_HMR_4494	v2081	2.7.1.1
R_HMR_4527	v2096	5.1.3.8
R_HMR_4536	v2099	2.7.7.43
R_HMR_8672	v3567	4.1.1.35
R_HMR_5135	v2392	6.1.1.16
R_HMR_7171	v2967	2.4.99.4
R_HMR_7440	v3154	2.4.1.102
R_HMR_7254	v3004	2.5.1.87
R_HMR_7285	v3025	2.4.1.119
R_HMR_7324	v3049	3.2.1.114
R_HMR_7327	v3051	2.4.1.145
R_HMR_5407	v2472	4.2.1.1
R_HMR_4084	v1874	3.1.3.7
R_HMR_4187	v1929	3.1.3.7
R_HMR_4139	v1903	1.1.1.37
R_HMR_4141	v1904	1.1.1.37
R_HMR_4145	v1906	2.3.3.1
R_HMR_4145	v1906	2.3.3.3
R_HMR_4147	v1907	6.2.1.4
R_HMR_4149	v1908	2.3.3.8
R_HMR_4408	v2035	4.2.1.2
R_HMR_4410	v2036	4.2.1.2
R_HMR_4454	v2061	4.2.1.3
R_HMR_4456	v2062	4.2.1.3
R_HMR_4585	v2122	1.1.1.42
R_HMR_4586	v2123	1.1.1.42
R_HMR_4589	v2124	4.2.1.3
