R_HMR_7161	v3230	2.7.7.6
R_HMR_7161	v3230	2.7.7.19
R_HMR_7161	v3230	2.7.7.52
R_HMR_7162	v3231	2.7.7.8
R_HMR_3804	v1906	1.4.1.3
R_HMR_3827	v1915	2.6.1.1
R_HMR_3829	v1916	2.6.1.1
R_HMR_3831	v1917	4.3.1.1
R_HMR_3890	v1947	6.3.1.2
R_HMR_9802	v4255	3.5.1.2
R_HMR_9802	v4255	3.5.1.38
R_HMR_4115	v2052	3.5.1.3
R_HMR_4118	v2054	1.8.1.7
R_HMR_4172	v2090	3.5.1.1
R_HMR_4172	v2090	3.5.1.38
R_HMR_3806	v1907	1.5.1.12
R_HMR_3835	v1919	1.5.1.2
R_HMR_3837	v1920	1.5.1.2
R_HMR_3838	v1921	1.5.99.8
R_HMR_3956	v1968	4.2.1.1
R_HMR_4191	v2104	4.1.1.19
R_HMR_4423	v2224	1.4.3.10
R_HMR_4423	v2224	1.4.3.6
R_HMR_4776	v2429	1.14.11.2
R_HMR_4777	v2430	1.14.11.2
R_HMR_4787	v2438	4.1.3.16
R_HMR_6930	v3107	2.3.1.57
R_HMR_6932	v3109	1.4.3.6
R_HMR_6932	v3109	1.4.3.21
R_HMR_6932	v3109	1.4.3.22
R_HMR_6964	v3132	1.5.3.11
R_HMR_8427	v3833	2.7.3.2
R_HMR_4285	v2150	1.2.1.24
R_HMR_4285	v2150	1.2.1.16
R_HMR_0457	v227	2.7.1.31
R_HMR_3845	v1925	2.1.2.1
R_HMR_3849	v1927	1.5.3.1
R_HMR_3849	v1927	1.5.99.1
R_HMR_3856	v1930	1.1.1.79
R_HMR_3856	v1930	1.1.1.81
R_HMR_3883	v1945	4.3.1.17
R_HMR_3883	v1945	4.3.1.19
R_HMR_4198	v2110	2.6.1.51
R_HMR_4348	v2183	4.3.1.19
R_HMR_4792	v2439	2.1.2.1
R_HMR_6409	v2868	1.8.1.4
R_HMR_6409	v2868	2.1.2.10
R_HMR_4429	v2227	2.1.1.8
R_HMR_4239	v2126	1.2.4.2
R_HMR_6984	v3142	2.4.1.50
R_HMR_3164	v1496	4.2.1.17
R_HMR_3885	v1946	2.3.1.16
R_HMR_3885	v1946	2.3.1.9
R_HMR_3208	v1535	6.4.1.3
R_HMR_3211	v1536	1.3.3.6
R_HMR_3211	v1536	1.3.99.3
R_HMR_3213	v1538	5.1.99.1
R_HMR_3215	v1539	5.4.99.2
R_HMR_4797	v2441	1.2.1.3
R_HMR_4222	v2122	2.6.1.7
R_HMR_4242	v2127	1.3.99.7
R_HMR_6715	v3033	2.1.1.6
R_HMR_6719	v3037	1.4.3.4
R_HMR_6730	v3038	2.1.1.6
R_HMR_6746	v3046	2.1.1.6
R_HMR_6748	v3048	1.2.1.5
R_HMR_6753	v3053	1.2.1.5
R_HMR_6760	v3058	1.2.1.5
R_HMR_6766	v3063	1.2.1.5
R_HMR_6768	v3065	2.6.1.5
R_HMR_6768	v3065	2.6.1.57
R_HMR_6768	v3065	2.6.1.1
R_HMR_6787	v3071	4.1.1.28
R_HMR_3875	v1943	2.5.1.6
R_HMR_3928	v1961	2.8.1.2
R_HMR_6520	v2939	2.8.1.1
R_HMR_3868	v1939	1.8.1.7
R_HMR_3869	v1940	1.8.1.7
R_HMR_4116	v2053	1.11.1.9
R_HMR_4120	v2055	1.11.1.9
R_HMR_4121	v2056	1.11.1.9
R_HMR_4175	v2092	2.3.2.2
R_HMR_4175	v2092	3.4.11.4
R_HMR_4176	v2093	2.3.2.2
R_HMR_4176	v2093	3.4.11.4
R_HMR_4324	v2166	6.3.2.2
R_HMR_4329	v2169	3.4.11.1
R_HMR_4329	v2169	3.4.11.2
R_HMR_4079	v2032	1.2.1.3
R_HMR_4174	v2091	4.1.1.11
R_HMR_4174	v2091	4.1.1.15
R_HMR_4330	v2170	2.6.1.55
R_HMR_4330	v2170	2.6.1.19
R_HMR_4427	v2225	3.4.13.3
R_HMR_4427	v2225	3.4.13.20
R_HMR_7140	v3223	2.1.1.9
R_HMR_3748	v1878	1.2.1.25
R_HMR_3759	v1884	1.2.1.3
R_HMR_3759	v1884	1.2.3.1
R_HMR_3767	v1888	1.2.1.25
R_HMR_3769	v1889	1.3.99.10
R_HMR_3769	v1889	1.3.99.3
R_HMR_3773	v1891	6.4.1.4
R_HMR_3780	v1894	1.2.1.25
R_HMR_4494	v2262	2.7.1.1
R_HMR_4524	v2277	2.7.1.59
R_HMR_4525	v2278	5.1.3.14
R_HMR_4536	v2285	2.7.7.43
R_HMR_8672	v3914	4.1.1.35
R_HMR_5143	v2600	6.1.1.10
R_HMR_7171	v3240	2.4.99.4
R_HMR_7183	v3245	2.4.99.3
R_HMR_1532	v686	2.5.1.10
R_HMR_7285	v3326	2.4.1.119
