R_HMR_5395	v2400	2.4.1.186
R_HMR_5396	v2401	2.4.1.11
R_HMR_9727	v3769	2.4.1.11
R_HMR_5397	v2402	2.4.1.18
R_HMR_5398	v2403	2.4.1.1
R_HMR_4399	v1999	4.2.1.47
R_HMR_4706	v2149	3.1.3.46
R_HMR_4706	v2149	3.1.3.11
R_HMR_4590	v2088	1.1.1.10
R_HMR_4591	v2089	1.1.1.15
R_HMR_4595	v2090	2.7.1.17
R_HMR_8727	v3495	2.4.1.117
R_HMR_6537	v2616	1.1.1.2
R_HMR_3853	v1767	4.4.1.5
