R_HMR_0830	v427	3.2.1.23
R_HMR_0837	v432	2.4.99.4
R_HMR_0841	v435	2.4.99.8
R_HMR_0844	v437	2.4.99.4
R_HMR_0847	v439	3.2.1.18
R_HMR_0851	v441	2.4.99.8
R_HMR_0852	v442	2.4.99.8
R_HMR_0876	v452	2.4.99.10
R_HMR_0877	v453	2.4.99.8
R_HMR_0883	v455	2.4.1.69
R_HMR_0884	v456	2.4.1.40
R_HMR_0909	v475	2.4.1.69
R_HMR_0793	v408	3.2.1.46
R_HMR_0797	v411	3.1.4.12
R_HMR_0919	v478	2.4.1.47
R_HMR_0926	v481	2.4.1.-
R_HMR_7185	v2877	2.4.1.198
R_HMR_7186	v2878	3.5.1.89
R_HMR_7187	v2879	2.3.-.-
